ID;Nombre;Fundación (dd/mm/aaaa);Apodo;Sigla;Nombre Corto;Estadio;Sitio oficial (http://www.sitio.com);Twitter (sin @);ID DataFactory;ID Liga;ID País;Descripción;;;;
1;Club Atlético Boca Juniors;04/03/1905;Xeneize, Bosteros, La Mitad más 1;CABJ;Boca;"Alberto J. Armando, ""La Bombonera""";http://www.bocajuniors.com.ar/;bocajrsoficial;5;1;13;;;;;
2;Club Atlético Tigre;08/03/1902;El Matador;CAT;Tigre;"José Dellagiovanna, ""El Monumental de Victoria""";http://www.catigre.com.ar/;catigreoficial;136;1;13;;;;;
3;Club Atlético Newell's Old Boys;11/03/1903;La Lepra;NOB;Newell´s;"Marcelo Bielsa, ""El Coloso del Parque""";http://www.newellsoldboys.com.ar/;canoboficial;13;1;13;;;;;
4;Club Atlético All Boys;15/3/1913;El Albo;CAAB;All Boys;Islas Malvinas;http://www.caallboys.com.ar/;caallboys;668;1;13;;;;;
5;Arsenal Fútbol Club;01/11/1957;Arse, Los del Viaducto;AFC;Arsenal;Julio Humberto Grondona;http://www.celesteyrojo.com.ar/;CelesteyRojo;3;1;13;;;;;
6;Club Atletico Colón;05/05/1905;Sabalero, Negro, Raza;CAC;Colón;Brigadier General Estanislao López;http://www.clubcolon.com.ar/;ColonOficial;6;1;13;;;;;
7;Club Estudiantes de La Plata;08/04/1905;Pincha, Pincharratas, León;CELP;Estudiantes;"Ciudad de La Plata, ""Único""";http://www.edelpoficial.com.ar/;EdelpOficial;7;1;13;;;;;
8;Club Atlético Vélez Sarsfield;01/01/1910;Fortinero, V azulada;CAVS;Vélez;"José Amalfitani, ""El Fortín""";http://www.velezsarsfield.com.ar/;Velez;20;1;13;;;;;
9;Club Atlético Unión;15/4/1907;El Tatengue;CAU;Unión;15 de Abril;http://www.clubaunion.com.ar/;clubaunion;137;1;13;;;;;
10;Club Atlético Belgrano;19/3/1905;Pirata, Celeste;CAB;Belgrano;"Julio César Villagra, ""El Gigante de Alberdi""";http://www.mundobelgranoweb.com/;Mundobelgrano;124;1;13;;;;;
11;Club Atlético Lanús;01/03/1915;El Granate;CAL;Lanús;"Ciudad de Lanús - Néstor Díaz Pérez, ""La Fortaleza""";http://www.clublanus.com/;ClubLanusAr;12;1;13;;;;;
12;Asociación Atlética Argentinos Juniors;15/8/1904;Bicho Colorado, Bicho de la Paternal;AAAJ;Argentinos;Diego Armando Maradona;http://www.argentinosjuniors.com.ar/;PrensaAAAJ;2;1;13;;;;;
13;Club Atlético San Lorenzo de Almagro;01/04/1908;Ciclón, Cuervo, Santo, Azulgrana;CASLA;San Lorenzo ;"Pedro Bidegain, ""El Nuevo Gasómetro""";http://www.sanlorenzo.com.ar/;sanlorenzoclub;19;1;13;;;;;
14;Asociación Mutual Social y Deportiva Atlético de Rafaela;13/1/1907;La Crema;AR;At. Rafaela;Nuevo Monumental;http://www.atleticorafaela.com.ar/;OficialAMSyD;99;1;13;;;;;
15;Club Atlético Independiente;01/01/1905;Rojo, Diablo de Avellaneda, Rey de Copas;CAI;Independiente;Libertadores de América;http://www.clubaindependiente.com/;independientetw;10;1;13;;;;;
16;Racing Club;25/3/1903;La Academia;RC;Racing;"Presidente Perón, ""El Cilindro""";http://www.racingclub.com/;RacingClub;16;1;13;;;;;
