author:;stream:;highlight; videocategory;createdAt; title;tag_idols;tag_teams;tag_texts;content
1;1_6f83yrvb;true;2;16/01/2013;Messi y sus amigos del fútbol;154, 11, 192, 112, 139, 171, 176, 177, 201, 109;;;Al finalizar uno de los partidos de los amigos de Messi, todas las figuras del fútbol mundial van a saludar al crack argentino. Una muestra del reconocimiento y la idolatría de las estrellas, hacia el mejor jugador del mundo.
1;1_7mnvirym;true;2;16/01/2013;El vestuario de los amigos de Messi;154, 11, 192, 112, 139, 171, 176, 177, 201, 109;;;Mientras los mejores futbolistas del mundo se cambian en el vestuario para disputar la Batalla de las Estrellas, Ariel Burrito Ortega le pide un autógrafo al mismísimo Leo Messi. Toda la intimidad de las figuras, en la previa del partido a beneficio entre los amigos de Messi y el resto del Mundo.
1;1_271e5zb6;true;2;16/01/2013;El ómnibus de los amigos de Messi -eng-;154, 11, 192, 112, 139, 171, 176, 177, 201, 109, 190, 61, 239, 181, 149, 157, 73, 132, 90, 208, 85, 228, 168, 169, 223, 50, 128, 119, 150, 261, 265;;amigos de messi, miami, batalla de las estrellas;
1;1_alhr63cf;true;2;16/01/2013;El famoso jarrón de Cóppola;21;;guillermo cóppola;Guillermo Cóppola, reconocido por haber sido el representante de Maradona, muestra el famoso jarrón por el que se lo vinculó hace varios años con una causa de narcotráfico. Ya aclarado el incidente, Guillote lo recuerda con gracia mientras conversa con Coco Basile y otros amigos.
1;1_e1j95jj2;true;4;16/01/2013;Trailer Clubes -eng-;;237, 60,123,143,81,124,136,140;fénix, ;Conocer los clubes desde adentro para recorrer sus rincones llenos de historia. Sus estadios, campos de entrenamiento y vestuarios,  donde héroes se transformaron en leyendas. Museos, vitrinas y las mejores anécdotas de los colores de tu pasión.
1;1_6q8xlupw;true;4;14/01/2013;El Museo del Sporting, un grande de Portugal Parte 1;282, 199;143;joao moutinho, ricardo quaresma, estadio josé alvalade, lisboa, portugal, mario casquilho, ;Un recorrido por el museo del Sporting de Lisboa con el testimonio de Mario Casquilho, fundador de la mítica galería. Toda la historia de uno de los clubes más importantes de Portugal, donde surgieron estrellas como Luis Figo y Cristiano Ronaldo.
1;1_k6e4c598;true;4;14/01/2013;El Museo del Sporting, un grande de Portugal Parte 2;282, 199, 2;143, 13;joao moutinho, ricardo quaresma, estadio josé alvalade, lisboa, portugal, mario casquilho;Mario Casquilho, fundador del museo del Sporting, repasa parte de la historia del club desde su fundación en 1906. Todos sus estadios, los 5 mil trofeos de sus vitrinas y los deportistas más reconocidos de los Leones de Lisboa.
1;1_jfeix05u;true;4;10/01/2013;Porto y su estadio do Dragão;113, 205, 283;140;estadio do dragão, portugal, oporto;El estadio do Dragão y todas sus instalaciones. En una recorrida por la cancha del Porto, te mostramos los lugares por donde pasan los ídolos de los Dragones. Sus vestuarios, tribunas, campos de entrenamiento y mucho más.
1;1_orpqd3we;true;4;10/01/2013;Pasión Cerrista Parte 1;;237;morita, don aníbal rodas oddone, cerrista, julio dos santos, centenario, ccp, pasión cerrista, 100 años, paraguay, oscar franco;Las historias de Morita -empleado del club-, Julio Dos Santos -jugador- y Oscar Franco -directivo-.
1;1_b0q32sgq;true;4;10/01/2013;Pasión Cerrista Parte 2;218;237;juan josé zapag, cerrista, centenario, 100 años, ccp, pasión cerrista, 100 años, paraguay, fundación cerro porteño, ciclón, la mitad más 1, ;El fanatismo por Cerro Porteño según Santiago Salcedo -jugador- y Juan José Zapag -presidente del club-. El proyecto cerrista en su año centenario y toda la pasión de la mitad más uno del Paraguay.
1;1_lbkkpysy;true;4;10/01/2013;Pasión Cerrista Parte 3;218;237;arturo rubin, errista, centenario, 100 años, ccp, pasión cerrista, 100 años, paraguay, fundación cerro porteño, ciclón, la mitad más 1, periodista deportivo;Cerro Porteño -Paraguay- y el gran sentimiento de sus hinchas. El pueblo cerrista según Santiago Salcedo -padre del jugador- y Arturo Rubin -periodista deportivo-.
1;1_v3ndnncf;true;4;10/01/2013;Las inferiores del Milan, un grande del Calcio;;136;filippo galli, mendoza, italia, calcio, nicolás clavería, inferiores;El Milan, uno de los equipos más importantes del mundo, muestra toda la preparación de sus juveniles. Su centro de entrenamiento y su metodología, en el testimonio de Filippo Galli -Responsable de Inferiores-. Además, el chico argentino Nicolás Clavería cuenta como es jugar en la cantera del Rossonero y revela su sueño.
